index,ts,open,high,low,close,vol
0,2025-08-05 19:00:00,113644.72,113763.27,113407.35,113616.52,256.1101
1,2025-08-05 20:00:00,113616.51,113989.97,113494.47,113690.71,242.46818
2,2025-08-05 21:00:00,113690.71,113862.45,113569.07,113606.53,183.41893
3,2025-08-05 22:00:00,113606.52,113989.4,113304.0,113961.25,268.24607
4,2025-08-05 23:00:00,113961.25,114228.88,113918.4,114129.75,205.63896
5,2025-08-06 00:00:00,114129.75,114139.38,113748.67,113879.7,295.3476
6,2025-08-06 01:00:00,113879.69,113945.14,113588.77,113821.21,292.50885
7,2025-08-06 02:00:00,113820.77,113833.88,113491.76,113623.22,206.78627
8,2025-08-06 03:00:00,113623.23,113658.13,113400.0,113509.97,266.89492
9,2025-08-06 04:00:00,113509.98,113582.71,113355.13,113429.21,248.98133
10,2025-08-06 05:00:00,113429.21,114417.02,113384.81,114148.01,602.70557
11,2025-08-06 06:00:00,114148.01,114200.0,113933.23,114084.93,265.65128
12,2025-08-06 07:00:00,114084.92,114300.0,114019.66,114227.91,319.69253
13,2025-08-06 08:00:00,114227.9,114250.0,113727.57,113948.22,382.35629
14,2025-08-06 09:00:00,113948.23,114368.31,113906.96,114093.15,340.97337
15,2025-08-06 10:00:00,114093.15,114226.69,113899.2,114067.2,335.97303
16,2025-08-06 11:00:00,114067.2,114404.23,114007.85,114226.69,220.99495
17,2025-08-06 12:00:00,114226.68,114333.59,113809.02,113914.31,306.06988
18,2025-08-06 13:00:00,113914.31,114390.88,113579.9,114270.09,671.195
19,2025-08-06 14:00:00,114270.09,115200.0,113869.88,115187.96,1041.66895
20,2025-08-06 15:00:00,115187.96,115515.09,114832.38,115413.87,1490.7463
21,2025-08-06 16:00:00,115413.87,115477.06,114942.18,115132.49,642.38859
22,2025-08-06 17:00:00,115132.49,115514.28,115024.0,115500.0,392.98209
23,2025-08-06 18:00:00,115500.0,115716.0,115301.27,115423.22,479.34282
24,2025-08-06 19:00:00,115423.23,115525.48,115118.8,115259.99,213.24559
25,2025-08-06 20:00:00,115260.0,115260.0,114987.68,115045.64,210.50571
26,2025-08-06 21:00:00,115045.65,115221.14,114793.01,115048.78,185.66057
27,2025-08-06 22:00:00,115048.77,115210.95,115039.14,115106.67,165.26512
28,2025-08-06 23:00:00,115106.66,115122.34,114963.2,114992.27,183.21657
29,2025-08-07 00:00:00,114992.27,115015.82,114856.15,114890.65,163.37387
30,2025-08-07 01:00:00,114890.66,115185.58,114580.53,114763.46,404.60721
31,2025-08-07 02:00:00,114763.47,114859.0,114404.22,114565.28,452.19409
32,2025-08-07 03:00:00,114564.76,114624.3,114404.7,114546.03,172.73916
33,2025-08-07 04:00:00,114546.03,114648.0,114259.0,114349.58,270.06529
34,2025-08-07 05:00:00,114349.58,114568.74,114278.02,114568.73,404.27424
35,2025-08-07 06:00:00,114568.74,114784.0,114511.96,114650.01,387.25216
36,2025-08-07 07:00:00,114650.01,114876.79,114640.03,114787.99,229.36946
37,2025-08-07 08:00:00,114787.99,115179.99,114787.98,114948.74,302.6219
38,2025-08-07 09:00:00,114948.74,115077.37,114844.78,115062.19,216.94309
39,2025-08-07 10:00:00,115062.19,116430.01,115038.06,116347.22,1912.68886
40,2025-08-07 11:00:00,116347.23,116828.93,116347.23,116519.53,1265.855
41,2025-08-07 12:00:00,116519.54,116588.02,116035.84,116390.0,797.0617
42,2025-08-07 13:00:00,116390.01,116741.05,116200.0,116640.0,668.99023
43,2025-08-07 14:00:00,116640.01,116680.0,116204.32,116363.16,793.48345
44,2025-08-07 15:00:00,116363.16,116791.11,116240.0,116689.81,487.19639
45,2025-08-07 16:00:00,116689.8,116748.66,115632.31,116259.24,767.87711
46,2025-08-07 17:00:00,116259.24,116560.0,116120.0,116511.54,505.06396
47,2025-08-07 18:00:00,116511.55,116573.36,116123.72,116561.05,422.06821
48,2025-08-07 19:00:00,116561.05,117520.0,116488.0,117461.98,1040.61628
49,2025-08-07 20:00:00,117461.99,117496.05,117140.32,117182.19,510.82309
50,2025-08-07 21:00:00,117182.19,117354.21,117012.0,117105.78,337.78727
51,2025-08-07 22:00:00,117105.77,117621.0,117079.39,117554.23,676.81999
52,2025-08-07 23:00:00,117554.23,117579.98,117292.88,117472.01,278.79062
53,2025-08-08 00:00:00,117472.02,117630.0,116870.21,117264.12,806.35514
54,2025-08-08 01:00:00,117264.11,117264.12,116786.43,116888.02,659.33735
55,2025-08-08 02:00:00,116888.01,116923.21,116694.28,116700.0,320.47308
56,2025-08-08 03:00:00,116700.0,116980.0,116699.6,116737.35,607.75417
57,2025-08-08 04:00:00,116737.34,116869.49,116666.0,116750.01,325.84463
58,2025-08-08 05:00:00,116750.01,116750.01,116505.0,116530.63,346.36157
59,2025-08-08 06:00:00,116530.64,116763.44,116401.0,116740.01,336.4827
60,2025-08-08 07:00:00,116740.01,116973.3,116557.54,116817.19,447.58601
61,2025-08-08 08:00:00,116817.2,116914.6,116449.51,116620.63,335.47963
62,2025-08-08 09:00:00,116620.63,116726.88,116481.44,116685.17,231.14843
63,2025-08-08 10:00:00,116685.17,116714.46,116317.08,116544.39,331.86082
64,2025-08-08 11:00:00,116544.39,116899.78,116544.39,116891.51,210.49123
65,2025-08-08 12:00:00,116891.51,116891.52,116492.45,116500.48,293.02279
66,2025-08-08 13:00:00,116500.49,116945.63,116499.43,116917.97,612.94206
67,2025-08-08 14:00:00,116917.98,117271.73,116381.32,116491.53,725.75392
68,2025-08-08 15:00:00,116491.53,116538.94,115878.71,116207.69,909.09971
69,2025-08-08 16:00:00,116207.7,116364.82,116006.14,116193.63,344.02759
70,2025-08-08 17:00:00,116193.63,116708.86,116161.11,116708.86,450.81243
71,2025-08-08 18:00:00,116708.86,116900.0,116336.0,116497.99,571.6669
72,2025-08-08 19:00:00,116497.99,116716.26,116337.91,116453.41,324.29021
73,2025-08-08 20:00:00,116453.41,116900.0,116319.06,116888.52,248.65741
74,2025-08-08 21:00:00,116888.52,116979.95,116755.53,116931.44,257.90138
75,2025-08-08 22:00:00,116931.43,116980.0,116752.05,116888.9,210.4007
76,2025-08-08 23:00:00,116888.9,116917.74,116657.26,116674.74,137.56292
77,2025-08-09 00:00:00,116674.74,116750.0,116577.72,116586.0,153.621
78,2025-08-09 01:00:00,116586.0,116650.01,116521.38,116563.26,163.11531
79,2025-08-09 02:00:00,116563.26,116563.26,116400.0,116404.0,173.10957
80,2025-08-09 03:00:00,116404.0,116482.28,116299.13,116384.01,482.04648
81,2025-08-09 04:00:00,116384.01,116675.99,116339.45,116434.76,377.42502
82,2025-08-09 05:00:00,116434.77,116980.0,116418.0,116739.23,1012.58137
83,2025-08-09 06:00:00,116739.23,116756.24,116532.77,116650.75,388.30445
84,2025-08-09 07:00:00,116650.75,116902.22,116633.88,116756.01,242.70175
85,2025-08-09 08:00:00,116756.0,117181.0,116756.0,117106.65,373.19101
86,2025-08-09 09:00:00,117106.66,117510.88,117045.54,117510.87,774.92238
87,2025-08-09 10:00:00,117510.88,117944.05,117382.27,117424.16,867.64459
88,2025-08-09 11:00:00,117424.16,117471.73,117082.43,117110.0,337.61342
89,2025-08-09 12:00:00,117110.0,117238.04,117010.0,117116.64,301.63531
90,2025-08-09 13:00:00,117116.65,117154.15,116878.68,116968.32,306.03785
91,2025-08-09 14:00:00,116968.32,117000.0,116748.2,116972.87,357.09924
92,2025-08-09 15:00:00,116972.87,117132.75,116700.01,116892.47,417.89197
93,2025-08-09 16:00:00,116892.48,116947.16,116642.67,116648.51,288.56338
94,2025-08-09 17:00:00,116648.51,116782.46,116619.77,116670.22,252.00135
95,2025-08-09 18:00:00,116670.22,116720.96,116555.02,116634.91,227.07359
96,2025-08-09 19:00:00,116634.91,116721.74,116500.0,116535.69,435.14207
97,2025-08-09 20:00:00,116535.68,117021.16,116504.53,116778.07,562.07841
98,2025-08-09 21:00:00,116778.07,116794.4,116359.89,116524.09,452.45503
99,2025-08-09 22:00:00,116524.09,116742.28,116500.0,116541.63,406.75315
100,2025-08-09 23:00:00,116541.62,116590.0,116436.15,116462.25,161.12374
101,2025-08-10 00:00:00,116462.25,116759.08,116460.63,116749.47,289.53628
102,2025-08-10 01:00:00,116749.46,116776.59,116539.99,116576.42,275.18169
103,2025-08-10 02:00:00,116576.42,117318.0,116576.41,117317.99,579.74957
104,2025-08-10 03:00:00,117317.99,118500.0,117250.41,118500.0,2748.2157
105,2025-08-10 04:00:00,118500.0,118741.77,118380.0,118485.45,980.85579
106,2025-08-10 05:00:00,118485.45,118511.0,117902.62,118045.0,566.81947
107,2025-08-10 06:00:00,118045.0,118161.05,117743.44,118074.24,319.46299
108,2025-08-10 07:00:00,118074.24,118238.87,117466.34,117808.3,576.94555
109,2025-08-10 08:00:00,117808.29,118400.0,117608.01,118308.85,375.95884
110,2025-08-10 09:00:00,118308.86,118441.48,118110.64,118293.08,372.51661
111,2025-08-10 10:00:00,118293.09,118293.45,117998.9,118020.0,328.37693
112,2025-08-10 11:00:00,118020.01,118500.0,117940.0,118330.58,429.47265
113,2025-08-10 12:00:00,118330.58,118737.26,118232.0,118514.0,629.53171
114,2025-08-10 13:00:00,118514.0,118683.87,118370.39,118452.0,392.64786
115,2025-08-10 14:00:00,118451.99,118850.0,118308.02,118779.0,740.25126
116,2025-08-10 15:00:00,118778.99,119113.94,118568.07,118815.0,1046.79677
117,2025-08-10 16:00:00,118815.0,118944.24,118623.14,118671.74,402.88128
118,2025-08-10 17:00:00,118671.75,118693.02,118453.48,118520.32,230.15923
119,2025-08-10 18:00:00,118520.33,118611.91,118433.8,118554.01,143.03169
120,2025-08-10 19:00:00,118554.01,118714.28,118462.29,118663.08,219.78592
121,2025-08-10 20:00:00,118663.09,118765.71,118074.99,118323.16,759.54759
122,2025-08-10 21:00:00,118323.0,118716.91,118092.0,118716.9,598.54997
123,2025-08-10 22:00:00,118716.9,119084.93,118615.44,119084.92,563.5175
124,2025-08-10 23:00:00,119084.93,119311.11,118861.16,119294.01,752.97788
125,2025-08-11 00:00:00,119294.27,119500.0,119104.17,119126.35,785.72983
126,2025-08-11 01:00:00,119126.35,119999.0,118972.59,119988.0,1217.33398
127,2025-08-11 02:00:00,119988.0,121894.64,119937.59,121876.0,3889.63895
128,2025-08-11 03:00:00,121875.99,122164.07,121559.11,121728.99,1733.48981
129,2025-08-11 04:00:00,121729.0,122175.88,121623.14,122080.0,1318.04919
130,2025-08-11 05:00:00,122080.0,122335.16,121823.24,122059.34,960.5403
131,2025-08-11 06:00:00,122059.34,122332.98,121954.79,122300.63,842.9397
132,2025-08-11 07:00:00,122300.64,122313.0,121466.08,121537.15,1158.35871
133,2025-08-11 08:00:00,121537.14,121823.0,121207.34,121679.13,889.12137
134,2025-08-11 09:00:00,121679.13,121704.78,121080.0,121439.75,793.97438
135,2025-08-11 10:00:00,121439.75,121455.02,120954.13,121184.84,824.81128
136,2025-08-11 11:00:00,121184.84,121283.29,120286.4,120561.54,1708.36029
137,2025-08-11 12:00:00,120561.53,120667.54,119536.75,119643.7,1739.45694
138,2025-08-11 13:00:00,119643.7,120328.93,119382.91,120010.0,1453.53759
139,2025-08-11 14:00:00,120009.99,120586.54,119809.06,120243.59,1235.12815
140,2025-08-11 15:00:00,120243.6,120408.01,119843.18,120314.4,808.13955
141,2025-08-11 16:00:00,120314.4,120794.05,119920.0,119953.65,915.6277
142,2025-08-11 17:00:00,119953.65,120150.0,119461.97,119500.0,536.23147
143,2025-08-11 18:00:00,119500.01,119870.2,119261.57,119773.92,530.7427
144,2025-08-11 19:00:00,119773.92,119785.72,118604.17,119089.3,830.32085
145,2025-08-11 20:00:00,119089.3,119093.0,118565.69,118824.34,553.02173
146,2025-08-11 21:00:00,118824.33,119172.63,118050.11,118712.61,847.50979
147,2025-08-11 22:00:00,118712.61,118906.41,118280.71,118886.96,629.34656
148,2025-08-11 23:00:00,118886.97,118889.0,118588.78,118686.0,292.92347
149,2025-08-12 00:00:00,118686.0,119021.77,118593.39,118949.31,609.75469
150,2025-08-12 01:00:00,118949.31,119108.06,118767.54,118977.1,413.93961
151,2025-08-12 02:00:00,118977.09,119275.46,118834.51,119054.13,399.30726
152,2025-08-12 03:00:00,119054.14,119120.0,118749.06,118857.7,471.63372
153,2025-08-12 04:00:00,118857.7,119158.06,118804.75,119067.97,368.18781
154,2025-08-12 05:00:00,119067.97,119067.97,118424.86,118819.99,836.98015
155,2025-08-12 06:00:00,118820.0,119032.0,118607.85,118839.97,1210.70965
156,2025-08-12 07:00:00,118839.97,119150.0,118839.97,118986.72,719.50636
157,2025-08-12 08:00:00,118986.73,119058.43,118740.0,118814.7,715.27467
158,2025-08-12 09:00:00,118814.71,118893.29,118400.01,118408.38,737.95535
159,2025-08-12 10:00:00,118408.38,118662.9,118207.47,118449.99,569.79019
160,2025-08-12 11:00:00,118449.99,118662.9,118222.0,118522.22,323.35879
161,2025-08-12 12:00:00,118522.22,119264.66,118285.0,119264.66,1633.67826
162,2025-08-12 13:00:00,119264.66,119712.6,118631.69,118847.35,1772.02738
163,2025-08-12 14:00:00,118847.35,119437.12,118764.36,119437.12,607.50451
164,2025-08-12 15:00:00,119437.12,119960.0,119320.0,119933.0,900.84426
165,2025-08-12 16:00:00,119933.0,120192.1,119525.0,119647.7,763.58705
166,2025-08-12 17:00:00,119647.69,119857.04,119172.62,119269.99,649.26235
167,2025-08-12 18:00:00,119270.0,120073.01,119267.0,119344.9,537.1305
168,2025-08-12 19:00:00,119345.07,119958.05,119309.08,119665.27,359.09127
169,2025-08-12 20:00:00,119665.27,120324.43,119485.84,120192.1,838.15928
170,2025-08-12 21:00:00,120192.09,120202.21,119792.5,119903.36,393.93368
171,2025-08-12 22:00:00,119903.36,120100.0,119650.0,120099.99,428.42505
172,2025-08-12 23:00:00,120100.0,120299.99,119925.47,120134.08,460.06709
173,2025-08-13 00:00:00,120134.09,120192.1,119636.0,119713.19,515.63049
174,2025-08-13 01:00:00,119713.19,119716.24,119337.67,119478.47,550.66677
175,2025-08-13 02:00:00,119478.47,119729.99,119094.28,119549.37,638.50499
176,2025-08-13 03:00:00,119549.37,119630.57,119306.89,119482.01,656.1991
177,2025-08-13 04:00:00,119482.01,119820.18,119328.12,119335.01,694.25608
178,2025-08-13 05:00:00,119335.01,119673.28,118920.92,119070.69,727.82442
179,2025-08-13 06:00:00,119070.68,119416.22,118955.99,119410.01,373.05315
180,2025-08-13 07:00:00,119410.01,119638.55,119290.01,119580.4,528.96933
181,2025-08-13 08:00:00,119580.4,120044.5,119446.22,120044.49,874.74205
182,2025-08-13 09:00:00,120044.5,120169.76,119771.88,120116.02,675.01444
183,2025-08-13 10:00:00,120116.02,120496.0,120047.58,120496.0,931.34391
184,2025-08-13 11:00:00,120496.0,120732.94,120432.21,120570.41,732.08488
185,2025-08-13 12:00:00,120570.41,120686.0,120209.51,120273.72,911.18128
186,2025-08-13 13:00:00,120273.72,122051.99,120106.02,121767.97,2385.47998
187,2025-08-13 14:00:00,121767.97,122200.0,120759.37,120890.73,2480.0002
188,2025-08-13 15:00:00,120890.74,121343.06,120309.73,120920.62,1452.01051
189,2025-08-13 16:00:00,120920.61,121721.3,120920.61,121421.77,704.71477
190,2025-08-13 17:00:00,121421.77,121887.53,121421.76,121823.24,934.90387
191,2025-08-13 18:00:00,121823.25,121954.51,121429.36,121639.2,891.23926
192,2025-08-13 19:00:00,121639.19,122839.47,121524.27,122744.21,1637.04367
193,2025-08-13 20:00:00,122744.22,122973.0,122464.34,122904.01,839.50398
194,2025-08-13 21:00:00,122904.01,123000.0,122298.2,122561.16,1066.42754
195,2025-08-13 22:00:00,122561.17,123637.68,122561.16,122954.03,1390.69414
196,2025-08-13 23:00:00,122954.03,123667.79,122907.05,123306.43,618.58221
197,2025-08-14 00:00:00,123306.44,124474.0,123251.9,123847.83,1664.051676
198,2025-08-14 01:00:00,123847.82,123946.46,123337.66,123337.67,661.07211
199,2025-08-14 02:00:00,123337.66,123689.98,123250.5,123662.53,671.89713
200,2025-08-14 03:00:00,123662.53,123849.98,123295.21,123337.14,484.6554
201,2025-08-14 04:00:00,123337.14,123428.6,123001.46,123003.17,571.29861
202,2025-08-14 05:00:00,123003.17,123123.6,122080.0,122134.76,832.10482
203,2025-08-14 06:00:00,122134.76,122134.76,121313.86,121771.27,1465.18702
204,2025-08-14 07:00:00,121771.27,122047.79,121538.28,121725.31,887.06699
205,2025-08-14 08:00:00,121725.31,122045.9,121560.83,121637.78,956.93709
206,2025-08-14 09:00:00,121637.78,121918.8,121528.55,121649.84,613.30308
207,2025-08-14 10:00:00,121649.84,121772.9,120757.01,120933.0,1133.31236
208,2025-08-14 11:00:00,120932.99,121031.31,120694.0,120949.67,752.73621
209,2025-08-14 12:00:00,120949.66,121183.06,117632.0,118866.37,5056.4661
210,2025-08-14 13:00:00,118866.37,119249.2,117727.73,118428.85,3271.5732
211,2025-08-14 14:00:00,118428.86,119361.45,118008.32,118799.01,1837.14675
212,2025-08-14 15:00:00,118799.02,118899.64,117879.87,118257.25,1451.88156
213,2025-08-14 16:00:00,118257.26,118257.26,117407.09,117866.42,1506.20052
214,2025-08-14 17:00:00,117866.42,118146.48,117500.0,117920.13,636.71884
215,2025-08-14 18:00:00,117920.14,118214.78,117180.0,118089.75,713.71597
